1;type;receiver_timestamp;sender_timestamp
2;D;135897165;135895789
3;D;135896589;135895949
4;D;135896781;135896109
5;D;135897101;135896269
6;D;135897421;135896429
7;D;135897389;135896589
8;D;135897549;135896749
9;D;135897709;135896909
10;D;135897869;135897069
11;D;135898029;135897229
12;D;135898189;135897389
13;D;135898349;135897549
14;D;135898509;135897709
15;D;135898669;135897869
16;D;135898829;135898029
17;D;135898989;135898189
18;D;135899149;135898349
19;D;135899309;135898509
20;D;135899469;135898669
21;D;135899629;135898829
22;D;135899789;135898989
23;D;135899949;135899149
24;D;135900109;135899309
25;D;135900269;135899469
26;D;135899725;135899629
27;D;135900045;135899789
28;D;135900365;135899949
29;D;135900685;135900109
30;D;135901005;135900269
31;D;135901325;135900429
32;D;135901645;135900589
33;D;135901965;135900749
34;D;135902285;135900909
35;D;135902349;135901069
36;D;135902349;135901229
37;D;135902221;135901389
38;D;135902541;135901549
39;D;135902861;135901709
40;D;135903181;135901869
41;D;135903501;135902029
42;D;135903757;135902669
43;D;135904077;135902829
44;D;135903373;135902989
45;D;135903693;135903149
46;D;135904013;135903309
47;D;135904333;135903469
48;D;135904653;135903629
49;D;135904973;135903789
50;D;135905613;135904109
51;D;135904909;135904269
52;D;135905229;135904429
53;D;135905389;135904589
54;D;135904845;135904749
55;D;135905485;135905069
56;D;135905805;135905229
57;D;135906125;135905389
58;D;135906445;135905549
59;D;135905741;135905709
60;D;135906061;135905869
61;D;135906701;135906189
62;D;135907021;135906349
63;D;135907341;135906509
64;D;135907661;135906669
65;D;135907981;135906829
66;D;135908301;135906989
67;D;135908621;135907149
68;D;135907917;135907309
69;D;135908237;135907469
70;D;135908557;135907629
71;D;135908877;135907789
72;D;135909517;135908109
73;D;135909837;135908269
74;D;135909453;135908589
75;D;135909773;135908749
76;D;135909389;135909069
77;D;135909709;135909229
78;D;135910349;135909549
79;D;135910669;135909709
80;D;135910989;135909869
81;D;135914381;135912589
82;D;135913677;135912749
83;D;135913997;135912909
84;D;135914317;135913069
85;D;135914637;135913229
86;D;135913933;135913389
87;D;135914253;135913549
88;D;135914573;135913709
89;D;135914893;135913869
90;D;135915213;135914029
91;D;135915533;135914189
92;D;135915853;135914349
93;D;135916173;135914509
94;D;135915469;135914669
95;D;135915789;135914829
96;D;135916109;135914989
97;D;135916429;135915149
98;D;135916749;135915309
99;D;135917069;135915469
100;D;135916365;135915629
101;D;135916685;135915789
102;D;135917005;135915949
103;D;135917325;135916109
104;D;135917645;135916269
105;D;135917965;135916429
106;D;135917261;135916589
107;D;135917581;135916749
108;D;135917901;135916909
109;D;135918221;135917069
110;D;135918541;135917229
111;D;135918861;135917389
112;D;135918157;135917549
113;D;135918477;135917709
114;D;135918797;135917869
115;D;135919117;135918029
116;D;135919437;135918189
117;D;135919757;135918349
118;D;135919373;135918669
119;D;135919693;135918829
120;D;135920013;135918989
121;D;135920333;135919149
122;D;135920653;135919309
123;D;135920973;135919469
124;D;135921293;135919629
125;D;135921389;135919789
126;D;135920909;135919949
127;D;135921229;135920109
128;D;135921549;135920269
129;D;135921229;135920429
130;D;135921165;135920589
131;D;135921485;135920749
132;D;135921805;135920909
133;!;;
134;D;135924493;135923789
